file_name,Mean_color,Color_list
image108.jpg,#393939,"#3a3a3a, #cdcdcd, #7e7e7e, #9c9c9c, #949494"
image134.jpg,#ecdbac,"#ebdaaa, #392615, #7d5a31, #ba9b68, #997644"
image120.jpg,#f640a2,"#f740a2, #223e2c, #30ce6c, #84a38b, #7c1c4a"
image322.png,#ece9e6,"#945444, #353134, #e8e2e1, #874f89, #8a8787"
image336.png,#9f824d,"#a0834d, #43462f, #f1f0e4, #c3bba5, #694829"
image295.png,#edeae5,"#edeae4, #3f3c39, #99595a, #918a85, #957d66"
image281.png,#b8b9b2,"#b8b9b2, #4b4437, #777671, #5c5341, #6a614f"
image280.png,#99a273,"#99a273, #0d0708, #61295d, #4e6778, #78670f"
image294.png,#f3ebc8,"#f3ebc8, #5f3b09, #d9b678, #bc924a, #8a5d17"
image337.png,#c29f9a,"#c2a09b, #21528c, #e5ded3, #9f2f4d, #95704a"
image323.png,#b7bba5,"#b8bca7, #232d58, #624d51, #646a5f, #6d7473"
image121.jpg,#339078,"#d0b066, #338f77, #1d2b22, #84c4af, #90c4bc"
image135.jpg,#cacccc,"#c9cccc, #272828, #797976, #686658, #645c51"
image109.jpg,#241f3b,"#241f3b, #e3e3e4, #8f8c9a, #7e6467, #988457"
image123.jpg,#343733,"#343733, #e29c4f, #d69bae, #c74640, #858048"
image137.jpg,#f0dcb9,"#f0dcb9, #2d2c2d, #a08c7a, #7c645d, #9c7d51"
image309.png,#8387ae,"#8387ae, #121767, #f2f0ef, #573058, #99675c"
image335.png,#9389a2,"#9388a2, #261da7, #e9ecfb, #706854, #5334b9"
image321.png,#0a6e52,"#f8f6e5, #096f52, #92ceb4, #861b48, #8eb1a4"
image282.png,#4f4f45,"#4f4f44, #d9aa6e, #93612d, #848884, #999c91"
image296.png,#edeae5,"#edeae4, #3f3c38, #99595a, #918a85, #957d66"
image297.png,#d6d5c9,"#d6d5c8, #623122, #d5a93b, #8e8e77, #5a7091"
image283.png,#d9d2cb,"#d8d2cb, #2e3e4b, #8e4a46, #7f9796, #a57256"
image320.png,#d2cabe,"#d1c9be, #4f452d, #c9ba8c, #b09e7f, #9b9181"
image334.png,#e0dfde,"#e0dfde, #262e3a, #676f80, #5c748a, #7c7c74"
image308.png,#4ac2d5,"#4ac2d5, #e5f8f9, #9bdde7, #75e8f6, #6aada8"
image136.jpg,#f2e4d3,"#f1e4d3, #332b22, #9c9080, #7c7461, #847564"
image122.jpg,#d8d4c7,"#d8d4c8, #615849, #938c7c, #7d7562, #7c786c"
image126.jpg,#cac1b8,"#cbc2b8, #685f5a, #94867c, #736a73, #73747b"
image132.jpg,#8fabaf,"#8fabaf, #2a475c, #943137, #a0892f, #dfbdb1"
